date,ahe_level,benchmark_level,yoy,benchmark_yoy,real_yoy,rel_yoy,cpiu_yoy
2023-03,29.78,33.27,-0.009314703925482289,0.046226415094339696,-0.05849189755438184,-0.055541119019821984,0.04917719362889955
2023-04,30.31,33.43,0.022604588394062014,0.045994993742177685,-0.026896210397181604,-0.02339040534811567,0.04950079879124362
2023-05,30.53,33.5,0.034214092140921464,0.04361370716510899,-0.007104420172928963,-0.009399615024187527,0.041318512313850426
2023-06,30.75,33.69,0.0423728813559322,0.04659832246039143,0.011666710625961335,-0.004225441104459229,0.030706170729970866
2023-07,30.77,33.85,0.04375848032564447,0.04669140383426091,0.010880987641361417,-0.0029329235086164376,0.032877492684283055
2023-08,30.72,33.89,0.04029800203183196,0.04469790382244152,0.0030729539967790306,-0.004399901790609562,0.03722504803505293
2023-09,30.88,34.01,0.04571622079241442,0.04421246545901129,0.008844154411221904,0.001503755333403134,0.03687206638119252
2023-10,31.18,34.08,0.05694915254237287,0.04220183486238518,0.024436493443761025,0.014747317679987694,0.03251265909861185
2023-11,31.14,34.17,0.052738336713996026,0.0411334552102377,0.02140487396808416,0.011604881503758324,0.031333462745911866
2023-12,31.57,34.29,0.061176470588235304,0.040983606557377095,0.028017371161132475,0.02019286403085821,0.03315909942710283
2024-01,31.67,34.47,0.06026113157013728,0.04391278013325244,0.029377701705281537,0.016348351436884838,0.030883429864855743
2024-02,31.73,34.52,0.07087411407357413,0.0413273001508297,0.039303372657087166,0.029546813922744435,0.03157074141648697
2024-03,32.03,34.65,0.0755540631296172,0.041478809738503014,0.040685714008780675,0.03407525339111418,0.03486834912083652
2024-04,32.31,34.76,0.06598482349059728,0.03978462458869274,0.03237687222840046,0.026200198901904545,0.033607951262196824
2024-05,32.59,34.89,0.06747461513265647,0.04149253731343285,0.03503182929262532,0.02598207781922362,0.03244278584003115
2024-06,32.91,35.01,0.07024390243902429,0.03918076580587713,0.04054132295255336,0.031063136633147158,0.029702579486470926
2024-07,32.98,35.08,0.07182320441988942,0.036336779911373615,0.042408446484306306,0.0354864245085158,0.029414757935583114
2024-08,33.09,35.22,0.07714843750000015,0.03924461493065796,0.051076992593079726,0.037903822569342195,0.026071444906920427
2024-09,33.4,35.34,0.0816062176165803,0.03910614525139681,0.05734138730116348,0.04250007236518349,0.024264830315416815
2024-10,33.44,35.46,0.07248236048749192,0.04049295774647895,0.04669391994877856,0.031989402741012966,0.025788440538713354
2024-11,33.62,35.6,0.07964033397559399,0.041849575651155976,0.05244560936274563,0.03779075832443801,0.027194724612848355
2024-12,33.15,35.69,0.05004751346214755,0.040828229804607714,0.02134060378704771,0.009219283657539837,0.02870690967509984
2025-01,33.54,35.84,0.05904641616671921,0.03974470554105032,0.02913663308771956,0.01930171062566889,0.029909783078999653
2025-02,33.63,35.94,0.05988023952095815,0.041135573580532867,0.031864405043344805,0.018744665940425287,0.028015834477613348
2025-03,33.99,36.11,0.06119263190758666,0.042135642135642165,0.03737281727953116,0.019056989771944498,0.023819814628055505
2025-04,33.55,36.12,0.03837821108016078,0.03912543153049481,0.01512432877758239,-0.0007472204503340268,0.023253882302578393
2025-05,33.83,36.28,0.03804848112918057,0.03983949555746634,0.014275830055499743,-0.0017910144282857685,0.023772651073680828
2025-06,33.55,36.36,0.019446976602856294,0.038560411311054026,-0.007357562056246006,-0.01911343470819773,0.0268045386591023
2025-07,33.91,36.47,0.028198908429351115,0.03962371721778793,0.0007727279076797586,-0.011424808788436814,0.027426180521671357
2025-08,34.15,36.62,0.03203384708371094,0.03975014196479269,0.002647929653394679,-0.007716294881081755,0.02938591743031626
2025-09,34.1,36.7,0.020958083832335415,0.038483305036785494,-0.009267632014797942,-0.01752522120445008,0.030225715847133357
2025-10,34.44,36.85,0.029904306220095697,0.039199097574732104,,-0.009294791354636407,
2025-11,34.48,37.0,0.025580011897679937,0.03932584269662917,-0.0013844272672595553,-0.013745830798949234,0.026964439164939492
2025-12,34.54,37.02,0.041930618401206654,0.03726534043149357,0.015397577255629076,0.004665277969713083,0.026533041145577578
