date,numerator_series_id,denominator_series_id,numerator_name,denominator_name,emp_numerator,emp_denominator,share,detrended_share_ma60,detrended_share_hamilton_logshare,detrended_share_poly3_logempdiff,detrended_log_emp_numerator_poly3,detrended_log_emp_denominator_poly3
2008-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,364.4,1557.0,0.2340398201669878,0.0510773221182319,0.0182507349225105,-0.0070337655911991,0.0727676276861108,0.07980139327731
2008-02-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,367.0,1557.4,0.235649158854501,0.0562017769624297,0.0287341095456816,-0.0014585989900028,0.0794224411230626,0.0808810401130655
2008-03-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,366.6,1558.0,0.2353016688061617,0.0524111611898351,0.0250568698995976,-0.0042001006933745,0.0778690772960697,0.0820691779894442
2008-04-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,366.6,1548.1,0.2368064078547897,0.0570465600881376,0.0361114897033563,0.0009205417544357,0.0773984559158931,0.0764779141614573
2008-05-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,366.8,1546.8,0.2371347297646754,0.0563339360677634,0.0381837129596838,0.0010640137761432,0.0774656810543374,0.0764016672781942
2008-06-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,365.5,1538.0,0.2376462938881664,0.0564738059033811,0.0354816545938447,0.0019888794891826,0.0734296933095794,0.0714408138203968
2008-07-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,363.0,1528.2,0.2375343541421279,0.0538568793875796,0.0231764393903992,0.0002996269985775,0.0660735868623572,0.0657739598637796
2008-08-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,360.6,1528.4,0.2359330018319811,0.0446969923349541,0.0080749712303762,-0.0076708565917362,0.0589404786185907,0.066611335210327
2008-09-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,358.2,1517.0,0.2361239288068556,0.0435898375804474,0.0105102133165122,-0.0080559922251346,0.0517563612460225,0.0598123534711572
2008-10-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,354.5,1503.8,0.2357361351243516,0.039967955008794,0.0025412311002637,-0.0108816448315156,0.040860421623865,0.0517420664553807
2008-11-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,353.6,1486.2,0.2379222177365092,0.0477903369262494,0.0321686024188125,-0.0028208064797095,0.0377993224537398,0.0406201289334493
2008-12-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,345.3,1458.9,0.2366851737610528,0.0403438270300574,0.01911593660158,-0.0091914428272374,0.0135214358751296,0.0227128787023671
2009-01-01,CES3133270001,CES3133200001,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Fabricated metal product manufacturing,338.9,1426.9,0.2375078842245427,0.0421617836848161,0.0190141467740279,-0.0068670277217579,-0.0057181146244547,0.0011489130973032
